ref,word,num,dep,label,dep2,label2
22b.001,hinee,1,,,,
22b.001,"neisonoo,",2,,,,
22b.001,old,3,,,,
22b.001,"clan,",4,,,,
22b.001,neisonoo,5,,,,
22b.001,old,6,,,,
22b.001,clan,7,,,,
22b.001,nuh'uuno.,8,,,,
22b.002,They,1,,,,
22b.002,call,2,,,,
22b.002,'em,3,,,,
22b.002,uhh,4,,,,
22b.002,big,5,,,,
22b.002,lodge,6,,,,
22b.002,clan.,7,,,,
22b.002,Yeah,8,,,,
22b.002,that's.,9,,,,
22b.002,I,10,,,,
22b.002,don't,11,,,,
22b.002,know,12,,,,
22b.002,how,13,,,,
22b.002,"manyof,",14,,,,
22b.002,how,15,,,,
22b.002,many,16,,,,
22b.002,how,17,,,,
22b.002,many,18,,,,
22b.002,are,19,,,,
22b.002,left,20,,,,
22b.002,'innit.,21,,,,
22b.003,Nuh'uuno,1,,,,
22b.003,"word,",2,,,,
22b.003,this,3,,,,
22b.003,"ahh,",4,,,,
22b.003,beesoowuunenno'.,5,,,,
22b.004,it,1,,,,
22b.004,means,2,,,,
22b.004,"ahh,",3,,,,
22b.004,big,4,,,,
22b.004,lakes,5,,,,
22b.004,people,6,,,,
22b.005,hoowXXX,1,,,,
22b.006,Big,1,,,,
22b.006,lakes.,2,,,,
22b.007,Wohei.,1,,,,
22b.008,ce'esoo',1,,,,
22b.008,it's,2,,,,
22b.008,uhh,3,,,,
22b.008,"beeso'oowuunenno',",4,,,,
22b.008,big,5,,,,
22b.008,lodge,6,,,,
22b.008,people.,7,,,,
22b.009,uhm-hmm.,1,,,,
22b.010,Wootii,1,,,,
22b.010,either,2,,,,
22b.010,"one,",3,,,,
22b.010,"wootii,",4,,,,
22b.010,'oh,5,,,,
22b.010,same,6,,,,
22b.010,"location,",7,,,,
22b.010,"nuh'uuno,",8,,,,
22b.010,XXX,9,,,,
22b.010,"beebei'on,this",10,,,,
22b.010,way,11,,,,
22b.010,"now,",12,,,,
22b.010,Great,13,,,,
22b.010,"Lakes,",14,,,,
22b.010,"huh,",15,,,,
22b.010,"Michigan,",16,,,,
22b.010,heenei'isiihi'.,17,,,,
22b.011,Lake,1,,,,
22b.011,Erie.,2,,,,
22b.012,"Nooxeihi',",1,,,,
22b.012,noox[eihi'],2,,,,
22b.012,niiheeneti-3i',3,,,,
22b.012,uhh...,4,,,,
22b.012,hini'iit,5,,,,
22b.012,uhh...,6,,,,
22b.013,teiP,1,,,,
22b.013,tei'i'ei3i',2,,,,
22b.013,wootii,3,,,,
22b.013,nih'iisih'i3i',4,,,,
22b.013,hoo3oo'o'.,5,,,,
22b.014,Tei'i'ei3i'.,1,,,,
22b.015,yeah.,1,,,,
22b.016,Yeah,1,,,,
22b.016,hoo3oo'o',2,,,,
22b.016,tei'i'ei3i',3,,,,
22b.016,nih'iisih'i3i',4,,,,
22b.016,"yeah,",5,,,,
22b.016,"recently,",6,,,,
22b.016,tei'i'ei3i'.,7,,,,
22b.017,woow,1,,,,
22b.017,nuhu',2,,,,
22b.017,wox,3,,,,
22b.017,cihciini,4,,,,
22b.017,wox.,5,,,,
22b.018,"Uhh,",1,,,,
22b.018,let's,2,,,,
22b.018,"see,",3,,,,
22b.018,what's,4,,,,
22b.018,"it,",5,,,,
22b.018,"ahh,",6,,,,
22b.018,wootii,7,,,,
22b.018,they,8,,,,
22b.018,had,9,,,,
22b.018,about,10,,,,
22b.018,"nine,",11,,,,
22b.018,eight,12,,,,
22b.018,ninewootii,13,,,,
22b.018,uhh,14,,,,
22b.018,nuhu',15,,,,
22b.018,"clans,",16,,,,
22b.018,you,17,,,,
22b.018,know?,18,,,,
22b.019,yeah.,1,,,,
22b.020,heeteihit.,1,,,,
22b.021,yeah.,1,,,,
22b.022,it's,1,,,,
22b.022,just,2,,,,
22b.022,like,3,,,,
22b.022,what,4,,,,
22b.022,"they,",5,,,,
22b.022,heeteihini',6,,,,
22b.022,neisonoo,7,,,,
22b.022,noh,8,,,,
22b.022,"neinoo,",9,,,,
22b.022,you,10,,,,
22b.022,know,11,,,,
22b.022,wootii,12,,,,
22b.022,a,13,,,,
22b.022,"clan,",14,,,,
22b.023,"yeah,",1,,,,
22b.023,wootii.,2,,,,
22b.024,"hini'iit,",1,,,,
22b.024,"nuhu',",2,,,,
22b.024,henee'eehek,3,,,,
22b.024,"hinee,",4,,,,
22b.024,toothiiteih?,5,,,,
22b.025,you,1,,,,
22b.025,"know,",2,,,,
22b.025,and,3,,,,
22b.025,then,4,,,,
22b.025,"they'd,",5,,,,
22b.025,nihniisih'eit,6,,,,
22b.025,that,7,,,,
22b.025,clan,8,,,,
22b.025,'oh,9,,,,
22b.025,nee'eeteiht,10,,,,
22b.026,yeah.,1,,,,
22b.027,nih'ii3i'.,1,,,,
22b.028,yeah.,1,,,,
22b.029,nihneeniitonou'u.,1,,,,
22b.029,"'oh,",2,,,,
22b.029,"'oh,",3,,,,
22b.029,hiiyohou'oo'ou'u,4,,,,
22b.029,nuhu',5,,,,
22b.029,clans.,6,,,,
22b.030,"yeah,",1,,,,
22b.030,hiiyohou'oo'ou'u,2,,,,
22b.030,nuhu'.,3,,,,
22b.030,beenhehe'.,4,,,,
22b.031,"Hoowoohtei'oo,",1,,,,
22b.031,wootii,2,,,,
22b.031,ce'esP...,3,,,,
22b.031,hoowoohtei'oono.,4,,,,
22b.032,hoowoohtei'oo.,1,,,,
22b.033,"huutiino,",1,,,,
22b.033,hoowP,2,,,,
22b.033,hoowuniihiihi',3,,,,
22b.033,nih'ii3i',4,,,,
22b.033,you,5,,,,
22b.033,"know,",6,,,,
22b.033,"hinono'ei',",7,,,,
22b.034,nih'iico'oniine'etii3i',1,,,,
22b.034,nuhu',2,,,,
22b.034,nono'eino'.,3,,,,
22b.035,He'ih'ii,1,,,,
22b.035,"he'iicxooyeiniihi',",2,,,,
22b.035,nihbeexnih'eisee3i',3,,,,
22b.035,nuhu'.,4,,,,
22b.036,"yeah,",1,,,,
22b.036,niih'P,2,,,,
22b.036,niih'iiP,3,,,,
22b.036,niih'eisee3i',4,,,,
22b.036,"yeah,",5,,,,
22b.036,nih'ii3oo3i'.,6,,,,
22b.037,huu3e',1,,,,
22b.037,konouutosei'i3i',2,,,,
22b.037,ni'ii3eihi3i',3,,,,
22b.037,wo'ei3,4,,,,
22b.037,nuhu'...,5,,,,
22b.037,bisnih'eisee3i'.,6,,,,
22b.038,Huutiino,1,,,,
22b.038,"nihbiseentoo3i',",2,,,,
22b.038,nuhu',3,,,,
22b.038,niitbeteentootiini'.,4,,,,
22b.040,yeah,1,,,,
22b.040,huut,2,,,,
22b.040,heeninP,3,,,,
22b.040,heninouhuuno'oowuu'.,4,,,,
22b.041,yeah.,1,,,,
22b.041,Heeninouhuu'.,2,,,,
22b.042,yeah.,1,,,,
22b.043,Wootii,1,,,,
22b.043,"hub,",2,,,,
22b.043,ne'nii'P,3,,,,
22b.044,yeah,1,,,,
22b.044,"nuhu',",2,,,,
22b.044,noh,3,,,,
22b.044,nih'iiP,4,,,,
22b.044,biseenentoo3i',5,,,,
22b.044,huutiino.,6,,,,
22b.045,nooP,1,,,,
22b.045,noo'oeeniihi'.,2,,,,
22b.046,Noh,1,,,,
22b.046,he'ih'ii,2,,,,
22b.046,"he'iicxooyeiniihi',",3,,,,
22b.046,he'ihceece3ei'oo3i'.,4,,,,
22b.046,huut.,5,,,,
22b.047,yeah.,1,,,,
22b.048,konouutosei'i3i',1,,,,
22b.048,nee'eesih'i3i',2,,,,
22b.048,nuhu'.,3,,,,
22b.050,yeah.,1,,,,
22b.050,yeah.,2,,,,
22b.051,he'ne'P,1,,,,
22b.051,nee'ee3e'inowoo,2,,,,
22b.051,you,3,,,,
22b.051,know.,4,,,,
22b.052,yeah.,1,,,,
22b.052,Howoo.,2,,,,
22b.053,hiiwooP,1,,,,
22b.053,hiiwoonhehe',2,,,,
22b.053,nee'eesoo'.,3,,,,
22b.054,yeah.,1,,,,
22b.055,"'oh,",1,,,,
22b.055,beP,2,,,,
22b.055,beisneenino',3,,,,
22b.055,hinono'eino'.,4,,,,
22b.056,"yeah,",1,,,,
22b.056,hinono'eino'.,2,,,,
22b.057,beisneenino':,1,,,,
22b.057,hoowuP,2,,,,
22b.057,"hoowu'un,",3,,,,
22b.058,nehe',1,,,,
22b.058,"nono'ei,",2,,,,
22b.058,hoowuuni,3,,,,
22b.058,hoowuneen,4,,,,
22b.058,hiihoowuneen,5,,,,
22b.058,"hinono'ei,",6,,,,
22b.058,hoowuni'iini.,7,,,,
22b.059,yeah.,1,,,,
22b.060,hoowunee'eesinihiinee;,1,,,,
22b.060,beisneenino'.,2,,,,
22b.061,yeah.,1,,,,
22b.062,Niibishiinono'einino',1,,,,
22b.062,bisiihi',2,,,,
22b.062,nuhu'.,3,,,,
22b.063,bisiihi',1,,,,
22b.063,neneenino'.,2,,,,
22b.064,'oh.,1,,,,
22b.064,??Andy,2,,,,
22b.064,hoo3oo'oo?,3,,,,
22b.065,hoowu'unceecebiihetit,1,,,,
22b.065,wootii,2,,,,
22b.065,heeneistoo3i',3,,,,
22b.065,hiiwoonhehe',4,,,,
22b.065,you,5,,,,
22b.065,know.,6,,,,
22b.066,yeah.,1,,,,
22b.067,nuhu',1,,,,
22b.067,compP,2,,,,
22b.067,nuh'uuno.,3,,,,
22b.068,Districts,1,,,,
22b.068,wootii.,2,,,,
22b.069,yeah.,1,,,,
22b.070,boo-boo3eti3i',1,,,,
22b.070,wootii.,2,,,,
22b.070,***,3,,,,
22b.071,yeah.,1,,,,
22b.072,"3iwoo,",1,,,,
22b.072,co'onbooboo3eti3i'.,2,,,,
22b.072,***,3,,,,
22b.073,yeah.,1,,,,
22b.074,wootii,1,,,,
22b.074,nuhu',2,,,,
22b.074,[so]soni'ii,3,,,,
22b.074,woow.,4,,,,
22b.075,ne'noonohkco'oo3i'.,1,,,,
22b.076,Hini',1,,,,
22b.077,tih'iisiitenowuno',1,,,,
22b.077,nuhu',2,,,,
22b.077,"niitcebiihetiitooni',",3,,,,
22b.077,"niitcebiihetino',",4,,,,
22b.078,yeah.,1,,,,
22b.079,yeah.,1,,,,
22b.080,xonouu,1,,,,
22b.080,ne'bisboo3eino'.,2,,,,
22b.082,yeah.,1,,,,
22b.083,"hoowP,",1,,,,
22b.083,hoowuuni.,2,,,,
22b.084,yeah.,1,,,,
22b.085,konou3boo-boo3-eino',1,,,,
22b.085,nuhu',2,,,,
22b.085,***,3,,,,
22b.085,sosoni'ii,4,,,,
22b.085,you,5,,,,
22b.085,know.,6,,,,
22b.086,"Tohuubei'ci3ei'i,",1,,,,
22b.086,niibeetitenowuuneino'.,2,,,,
22b.087,yeah.,1,,,,
22b.088,'oh,1,,,,
22b.088,hoowuuni.,2,,,,
22b.089,hiiwoonhehe',1,,,,
22b.089,heentou'u,2,,,,
22b.089,nuh'uuno,3,,,,
22b.089,wootii,4,,,,
22b.089,ceeceeP,5,,,,
22b.089,ce'esP,6,,,,
22b.089,ceece'esiini,7,,,,
22b.089,you,8,,,,
22b.089,know,9,,,,
22b.089,konouu[tosei']P,10,,,,
22b.089,huu3e',11,,,,
22b.089,konouut[osei']P,12,,,,
22b.089,tohuuP,13,,,,
22b.089,toh'oowuP,14,,,,
22b.089,hoowuni'iini,15,,,,
22b.089,nenitee,16,,,,
22b.089,wootii,17,,,,
22b.089,co'oncooP,18,,,,
22b.089,coh'oyoo3eti3i'.,19,,,,
22b.091,howoo,1,,,,
22b.091,kookohoh'ohwoonoo3i,2,,,,
22b.091,you,3,,,,
22b.091,"know,",4,,,,
22b.091,niinonsoo',5,,,,
22b.091,'innit?,6,,,,
22b.092,yeah.,1,,,,
22b.092,"Kohoh'ohwoo,",2,,,,
22b.092,"kooP,",3,,,,
22b.092,nii'kohoh'ohwoo3i'.,4,,,,
22b.093,'oh,1,,,,
22b.093,"hiit,",2,,,,
22b.093,hee3e'inowoo,3,,,,
22b.093,"nuhu',",4,,,,
22b.093,nuhu',5,,,,
22b.093,"uhh,",6,,,,
22b.094,huutiino,1,,,,
22b.094,ne'niitceecesisoo',2,,,,
22b.094,"nuh'uuno,",3,,,,
22b.094,huutiino.,4,,,,
22b.095,huut.,1,,,,
22b.096,howoo,1,,,,
22b.096,nuhu',2,,,,
22b.096,"niitbetoootiini',",3,,,,
22b.096,niitbeteee3i',4,,,,
22b.096,ne'niitcesisoo',5,,,,
22b.096,huut.,6,,,,
22b.098,xxx,1,,,,
22b.098,area,2,,,,
22b.098,nuh'uuno.,3,,,,
22b.099,yeah.,1,,,,
22b.100,howoo,1,,,,
22b.101,howoo,1,,,,
22b.101,nuhu',2,,,,
22b.101,hoseihoowu',3,,,,
22b.101,"ne'niitcesisoo',",4,,,,
22b.101,huutiino.,5,,,,
22b.102,"yeah,",1,,,,
22b.102,down,2,,,,
22b.102,here,3,,,,
22b.102,heentou',4,,,,
22b.102,yeah.,5,,,,
22b.103,'oh,1,,,,
22b.103,he'iiteihi3i,2,,,,
22b.103,hee3ebP,3,,,,
22b.103,'oh,4,,,,
22b.103,hoowuutenino',5,,,,
22b.103,***,6,,,,
22b.103,wohoe'he'iisiiP,7,,,,
22b.103,he'iisiini.,8,,,,
22b.104,hiiwoonhehe',1,,,,
22b.104,konouut[osei'],2,,,,
22b.104,hi'in,3,,,,
22b.104,konouutosei'i3i',4,,,,
22b.104,"niitoo3i',",5,,,,
22b.104,nee'eetou',6,,,,
22b.104,nuhu',7,,,,
22b.104,hoseihoowu'.,8,,,,
22b.104,'oh...,9,,,,
22b.105,Yeah.,1,,,,
22b.105,He'iisiini,2,,,,
22b.105,yeah.,3,,,,
22b.106,'oh,1,,,,
22b.106,"huutiino,",2,,,,
22b.106,ne'niitceecesisoo',3,,,,
22b.106,nuhu'.,4,,,,
22b.107,"yeah,",1,,,,
22b.107,teecxo',2,,,,
22b.107,yeah.,3,,,,
22b.108,Noowuuhu',1,,,,
